Day,Date,Phase,Platform,Post_Type,Pillar,Best_Time_ET,Priority,Hook_First_3s,Caption,Asset_Description,CTA,Hashtags
16,,WORLDBUILDING,TikTok,Lyric Clip,Lyric Wound,Tue/Thu 7-9pm ET,MED,Lyric text appears with first beat — high contrast,the city knows what happened.,Most quotable line + black/red overlay + ambient motion. SUBTITLE-ready (24% more shares).,save this,#papilotus #darkrnb #afterhours
16,,WORLDBUILDING,IG Story,Lyric Frame,Lyric Wound,10-11am ET (same day),LOW,Lyric text fade,no caption,Frame from lyric clip,,
17,,WORLDBUILDING,IG Feed,Fake Magazine Cover,False Reality,Tue-Thu 11am-1pm ET,HIGH,n/a (still),Papi Lotus returns from the static.,"AI editorial cover — luxury noir layout, wine red + black, fake magazine title bar. Carousel option: cover + 3 inside spreads.",,#papilotus #afterhours #nightdrive
17,,WORLDBUILDING,IG Story,Magazine Preview,False Reality,7-9pm ET (same day),LOW,Magazine spread,no caption,Spread preview frame,,
18,,WORLDBUILDING,TikTok,Hook Loop,Song Loop,Tue/Thu 7-9pm ET,MED,Surveillance footage feel + lyric,what does this feel like?,Surveillance cam AI variation. Comment-bait caption (2.4x more comments per research).,tell me in comments,#papilotus #darkrnb #afterhours
18,,WORLDBUILDING,YT Shorts,Hook Loop,Song Loop,Fri 4-7pm ET,MED,Surveillance footage,what does this feel like?,Same surveillance variation,,#papilotus #darkrnb #newmusic
19,,WORLDBUILDING,IG Reel,BTS Illusion,False Reality,Wed/Thu 6-9pm ET,HIGH,Red LED room + timestamp on frame 1,archived footage: lotus sessions 03:17 AM.,"AI backstage/studio — red LED, smoke, mic silhouette. Adds mythology.",,#papilotus #darkrnb #afterhours
19,,WORLDBUILDING,Website,Lyric Page Live,Lyric Wound,Anytime (low traffic),MED,n/a,no caption,"Lyric page goes live — minimal dark bg, small type, SEO-ready, email capture in footer",,
20,,WORLDBUILDING,TikTok,BTS Illusion (cross-post),False Reality,Tue/Thu 7-9pm ET,MED,Red LED + timestamp,archived. 03:17 AM.,Cross-post Day 19 BTS,,#papilotus #darkrnb #afterhours
20,,WORLDBUILDING,IG Story,Countdown 30,Controlled Mystery,10-11am ET (same day),MED,Animated 30,30.,Countdown frame,,
21,,WORLDBUILDING,IG Feed,Archive Carousel,False Reality,Tue-Thu 7-9pm ET,MED,n/a,found in the static.,4 AI stills with cryptic date stamps — fake archive feel. Carousels score higher saves.,save this,#papilotus #afterhours #nightdrive
22,,WORLDBUILDING,TikTok,Hook Loop (winning variant),Song Loop,Tue/Thu 7-9pm ET,HIGH,Best-performing background from Days 2/4/12/14,this is the one.,By now you know which AI background got the most saves. PUSH that variant hard.,save this,#papilotus #afterhours #nightdrive
22,,WORLDBUILDING,IG Reel,Hook Loop (winning variant),Song Loop,Wed/Thu 6-9pm ET,HIGH,Same winning background,this is the one.,"Same winning hook, IG-optimized",send this to nobody,#papilotus #afterhours #nightdrive
22,,WORLDBUILDING,IG Story,Save Prompt,Song Loop,7-9pm ET (same day),MED,Frame + save sticker,save before it disappears.,Frame from hook + save sticker,,
23,,WORLDBUILDING,IG Reel,Official Teaser,Video Fragments,Wed/Thu 6-9pm ET,HIGH,Title card + date stamp visible immediately,MOTEL SAINT — out 07.XX,Title + date card cut. PIN this when posted.,save the date,#papilotus #darkrnb #newmusic
23,,WORLDBUILDING,IG Story,Multi-Reminders,Cinematic Identity,7-9pm ET (same day),MED,Three quick frames,no caption,"Multi-frame: pre-save sticker (when ready), audio sticker, date",,
24,,WORLDBUILDING,TikTok,Lyric POV,Lyric Wound,Tue/Thu 7-9pm ET,HIGH,"Lyric text on frame 1, night highway behind",POV: when they come back after you healed.,"Night highway AI + key lyric. POV format = +17%, lyric overlay = +24% shares.",send this to nobody,#papilotus #afterhours #nightdrive
24,,WORLDBUILDING,IG Story,Save Reminder,Lyric Wound,10-11am ET (same day),LOW,Lyric frame,no caption,Frame from POV clip + save sticker,,
25,,WORLDBUILDING,IG Feed,Editorial Portrait,Cinematic Identity,Tue-Thu 7-9pm ET,MED,n/a,lotus season.,"AI editorial — empty penthouse, city lights through rainy glass",,#papilotus #afterhours #nightdrive
25,,WORLDBUILDING,Website,Release Page Live,Cinematic Identity,Anytime (low traffic),HIGH,n/a,no caption,"Release page goes live — cover, smart links placeholder, video embed, lyrics, 3 stills. PRE-SAVE button prominent.",,
25,,WORLDBUILDING,YT Shorts,Lyric POV,Lyric Wound,Fri 4-7pm ET,MED,Lyric overlay frame 1,POV: when they come back after you healed.,"Day 24 POV cross-posted, YT-optimized",,#papilotus #darkrnb #newmusic
26,,WORLDBUILDING,TikTok,Hook Loop,Song Loop,Tue/Thu 7-9pm ET,MED,Chrome hallway flash + lyric,this one came from the part I do not talk about.,Chrome hallway AI variation + hook + emotional framing (vulnerable storytelling = high engagement in 2026),,#papilotus #darkrnb #afterhours
27,,WORLDBUILDING,IG Reel,POV Edit,Lyric Wound,Wed/Thu 6-9pm ET,HIGH,Lyric overlay + driving footage on frame 1,"POV: you saved them, they didn't save you back.",Emotional edit — night driving + lyric overlay. High DM-share potential.,send this to nobody,#papilotus #afterhours #nightdrive
27,,WORLDBUILDING,TikTok,POV Edit (cross-post),Lyric Wound,Tue/Thu 7-9pm ET,MED,Lyric + driving frame 1,"POV: you saved them, they didn't save you back.","Same POV, TikTok",save this,#papilotus #afterhours #nightdrive
28,,WORLDBUILDING,TikTok,AI Visualizer,Cinematic Identity,Tue/Thu 7-9pm ET,MED,Red room flicker + lyric,save this for the drive home.,"Slow red room motion + lyric overlay, hypnotic loop. Save-bait caption.",save this,#papilotus #afterhours #nightdrive
29,,WORLDBUILDING,IG Feed,Fake Paparazzi #2,False Reality,Tue-Thu 11am-1pm ET,MED,n/a,no caption,"AI flash photo — outside club, blurred crowd, candid but stylish",,#papilotus #darkrnb #afterhours
30,,WORLDBUILDING,TikTok,Hook + Countdown 20,Song Loop,Tue/Thu 7-9pm ET,HIGH,Best AI variation + small '20' overlay,20 days. do not say I didn't warn you.,Winning hook variant + countdown number. Sets up daily countdown push.,,#papilotus #darkrnb #newmusic
30,,WORLDBUILDING,IG Story,Countdown 20,Controlled Mystery,10-11am ET (same day),MED,Animated 20,20.,Countdown card + pre-save sticker (when Countdown Page ready Day 42),,
31,,TEASER PRESSURE,TikTok,Hook Loop,Song Loop,Tue/Thu 7-9pm ET,MED,Surveillance cam frame 1,you were never supposed to hear this.,Daily hook push,save this,#papilotus #afterhours #nightdrive
31,,TEASER PRESSURE,IG Story,Countdown 19,Controlled Mystery,10-11am ET (same day),LOW,19,19.,Countdown frame,,
32,,TEASER PRESSURE,IG Reel,Lyric Loop,Lyric Wound,Wed/Thu 6-9pm ET,MED,Lyric text + ambient motion frame 1,do not text them tonight.,Lyric loop + slow red ambient motion,send this to nobody,#papilotus #darkrnb #afterhours
32,,TEASER PRESSURE,TikTok,Hook Loop,Song Loop,Tue/Thu 7-9pm ET,MED,Empty club neon frame 1,do not text them tonight.,"Same hook, empty club AI background",,#papilotus #afterhours #nightdrive
33,,TEASER PRESSURE,TikTok,Snippet A — Verse Line,Song Loop,Tue/Thu 7-9pm ET,HIGH,Verse 1 line drops on frame 1,POV: you almost made it through the night.,DIFFERENT song moment — verse 1 strongest line (not chorus). Test if a non-chorus line resonates. Rainy parking lot AI.,save this,#papilotus #afterhours #nightdrive
34,,TEASER PRESSURE,IG Feed,AI Editorial,Cinematic Identity,Tue-Thu 7-9pm ET,MED,n/a,luxury decay.,"AI editorial — long black coat, dim penthouse",,#papilotus #afterhours #nightdrive
34,,TEASER PRESSURE,TikTok,Hook Loop,Song Loop,Tue/Thu 10-11am ET,MED,Rainy parking lot + lyric,the city knows what happened.,Rainy parking lot variation,,#papilotus #darkrnb #afterhours
35,,TEASER PRESSURE,IG Reel,First-Listen Incentive,Human Proof,Wed/Thu 6-9pm ET,HIGH,Face-on-camera + offer text frame 1,first to hear the chorus = afterhours list. link in bio.,"Direct-to-camera offer. EMAIL LIST CAPTURE. Per Cyber PR 2026: own your fan data, not Spotify. Face-centered = +35% engagement.",join the afterhours list,#papilotus #darkrnb #afterhours
35,,TEASER PRESSURE,TikTok,First-Listen Incentive,Human Proof,Tue/Thu 7-9pm ET,HIGH,Face + offer,first to hear the chorus = link in bio.,"Same email-list push, TikTok version",tap link in bio,#papilotus #darkrnb #afterhours
35,,TEASER PRESSURE,IG Story,Link Sticker — Email,Human Proof,7-9pm ET (same day),MED,Cover preview + link sticker,join the afterhours list.,Link sticker direct to email signup,tap to join,
36,,TEASER PRESSURE,TikTok,Snippet B — Bridge Line,Song Loop,Tue/Thu 7-9pm ET,HIGH,Bridge moment on frame 1,POV: the apology came too late.,DIFFERENT song moment — bridge line. Test if bridge hits harder than chorus or verse. Wet glass AI.,save this,#papilotus #afterhours #nightdrive
36,,TEASER PRESSURE,IG Story,Countdown 14,Controlled Mystery,10-11am ET (same day),MED,14,14.,Countdown card,,
37,,TEASER PRESSURE,IG Feed,Lyric Still,Lyric Wound,Tue-Thu 11am-1pm ET,MED,n/a,the city knows what happened.,"Black bg, small white type, lotus mark",save this,#papilotus #darkrnb #afterhours
37,,TEASER PRESSURE,TikTok,Lyric POV,Lyric Wound,Tue/Thu 7-9pm ET,MED,Lyric + night highway,POV: the apology came too late.,Night highway + lyric overlay,send this to nobody,#papilotus #afterhours #nightdrive
38,,TEASER PRESSURE,IG Reel,Hook Loop (winning variant),Song Loop,Wed/Thu 6-9pm ET,HIGH,Winning background frame 1,this is the one.,Push the strongest hook variant again — it's working,save this,#papilotus #afterhours #nightdrive
38,,TEASER PRESSURE,TikTok,Hook Loop (winning variant),Song Loop,Tue/Thu 7-9pm ET,MED,Same winning bg,this is the one.,Cross-post,,#papilotus #darkrnb #afterhours
39,,TEASER PRESSURE,TikTok,Snippet C — Outro Line,Song Loop,Tue/Thu 7-9pm ET,HIGH,Outro/final line on frame 1,memory loop.,DIFFERENT song moment — final/outro line. Test what hits at the end. VHS tape AI feel.,,#papilotus #afterhours #nightdrive
39,,TEASER PRESSURE,YT Shorts,Snippet B (cross-post),Song Loop,Fri 4-7pm ET,MED,Bridge moment,POV: the apology came too late.,Day 36 bridge variant on YT Shorts,,#papilotus #darkrnb #newmusic
40,,TEASER PRESSURE,IG Feed,Carousel,Cinematic Identity,Tue-Thu 7-9pm ET,MED,n/a — lead with strongest image,lotus season continues.,"4 AI stills — motel, paparazzi, penthouse, car",,#papilotus #afterhours #nightdrive
40,,TEASER PRESSURE,Website,Archive Page Update,False Reality,Anytime (low traffic),LOW,n/a,no caption,Add 6 archive tiles with cryptic captions and dates,,
41,,TEASER PRESSURE,TikTok,Winning Snippet Push,Lyric Wound,Tue/Thu 7-9pm ET,HIGH,Whichever snippet (A/B/C) won most saves,POV: the line that ruined you.,By now Days 33/36/39 have data. PUSH the winning snippet hard with new AI background.,save this,#papilotus #afterhours #nightdrive
42,,TEASER PRESSURE,IG Reel,Pre-Save LAUNCH,Cinematic Identity,Wed/Thu 6-9pm ET,HIGH,Cover art + 'pre-save' text on frame 1,pre-save the transmission. before midnight 07.XX.,PRE-SAVE COUNTDOWN PAGE GOES LIVE TODAY. Spotify data: 7+ days early = nearly 2x saves. Make sure your Spotify Countdown Page is published in Spotify for Artists.,pre-save link in bio,#papilotus #darkrnb #newmusic
42,,TEASER PRESSURE,TikTok,Pre-Save LAUNCH,Cinematic Identity,Tue/Thu 7-9pm ET,HIGH,Cover art + 'pre-save',pre-save before it drops.,"Same pre-save push, TikTok",pre-save link in bio,#papilotus #darkrnb #newmusic
42,,TEASER PRESSURE,IG Feed,Pre-Save Cover Post,Cinematic Identity,Tue-Thu 7-9pm ET,HIGH,n/a,07.XX. pre-save now.,Cover art post + pre-save CTA. Pin this.,pre-save link in bio,#papilotus #darkrnb #newmusic
42,,TEASER PRESSURE,IG Story,Link Sticker — Pre-Save,Cinematic Identity,7-9pm ET (same day),HIGH,Cover + link sticker,pre-save now.,Link sticker direct to pre-save URL,tap to pre-save,
43,,TEASER PRESSURE,TikTok,Hook + Countdown 7,Song Loop,Tue/Thu 7-9pm ET,HIGH,Best hook + small '7' overlay,one week. pre-save before it disappears.,Best AI variation + countdown,pre-save link in bio,#papilotus #darkrnb #newmusic
43,,TEASER PRESSURE,IG Story,Countdown 7,Controlled Mystery,10-11am ET (same day),HIGH,Animated 7,7.,Countdown + pre-save sticker,tap to pre-save,
44,,TEASER PRESSURE,IG Feed,Cover Art Preview,Cinematic Identity,Tue-Thu 11am-1pm ET,MED,n/a,MOTEL SAINT.,"Partial cover reveal — half visible, faded edges",pre-save link in bio,#papilotus #darkrnb #newmusic
44,,TEASER PRESSURE,TikTok,Cover + Hook,Song Loop,Tue/Thu 7-9pm ET,MED,Cover art animates in,this week.,Cover art motion + song hook,,#papilotus #darkrnb #newmusic
45,,TEASER PRESSURE,IG Reel,Final Teaser,Video Fragments,Wed/Thu 6-9pm ET,HIGH,Best 6-sec cut + slow push-in frame 1,this week.,Best 6-sec clip — max impact,pre-save link in bio,#papilotus #darkrnb #newmusic
45,,TEASER PRESSURE,TikTok,Final Teaser,Video Fragments,Tue/Thu 7-9pm ET,HIGH,Same 6-sec cut,this week.,Same final teaser,,#papilotus #darkrnb #newmusic
45,,TEASER PRESSURE,IG Story,Countdown 5,Controlled Mystery,10-11am ET (same day),MED,Animated 5,5.,Countdown + pre-save,tap to pre-save,
46,,RELEASE BUILDUP,TikTok,Hook + Countdown 4,Song Loop,Tue/Thu 7-9pm ET,HIGH,Silhouette + '4' overlay,4.,Silhouette AI variation with countdown,pre-save link in bio,#papilotus #darkrnb #newmusic
46,,RELEASE BUILDUP,YT Shorts,Hook + Countdown,Song Loop,Fri 4-7pm ET,MED,Same silhouette,4 days.,YT version of countdown,,#papilotus #darkrnb #newmusic
46,,RELEASE BUILDUP,IG Story,Countdown 4,Controlled Mystery,10-11am ET (same day),MED,Animated 4,4.,Countdown + pre-save,,
47,,RELEASE BUILDUP,TikTok,Lyric POV (strongest),Lyric Wound,Tue/Thu 7-9pm ET,HIGH,Most-quoted lyric + night highway,POV: the chaos is the only thing you remember.,Strongest emotional lyric + night highway. Pull the line that's been generating most saves.,send this to nobody,#papilotus #afterhours #nightdrive
47,,RELEASE BUILDUP,IG Reel,BTS Frame,Human Proof,Wed/Thu 6-9pm ET,MED,Real moment frame 1,we almost didn't drop this.,"Real or semi-real BTS — phone screen, studio, lyric notebook. Human proof.",,#papilotus #darkrnb #afterhours
47,,RELEASE BUILDUP,IG Story,Countdown 3,Controlled Mystery,10-11am ET (same day),MED,Animated 3,3.,Countdown + pre-save,,
48,,RELEASE BUILDUP,IG Feed,Cover Art Full Reveal,Cinematic Identity,Tue-Thu 7-9pm ET,HIGH,n/a,MOTEL SAINT — 07.XX,"Final cover, minimal caption. Pin.",pre-save link in bio,#papilotus #darkrnb #newmusic
48,,RELEASE BUILDUP,TikTok,Cover + Hook (best),Song Loop,Tue/Thu 7-9pm ET,HIGH,Cover animates + hook drops,two days.,Cover motion + winning hook variant,pre-save link in bio,#papilotus #darkrnb #newmusic
48,,RELEASE BUILDUP,IG Story,Countdown 2,Controlled Mystery,7-9pm ET (same day),HIGH,Animated 2,2.,Countdown + pre-save sticker,tap to pre-save,
49,,RELEASE BUILDUP,IG Reel,Final Teaser — Tomorrow,Video Fragments,Wed/Thu 6-9pm ET,HIGH,Best 6-sec + 'tomorrow' overlay,tomorrow.,Final 6-sec teaser with 'tomorrow' text,pre-save link in bio,#papilotus #darkrnb #newmusic
49,,RELEASE BUILDUP,TikTok,Final Teaser — Tomorrow,Video Fragments,Tue/Thu 7-9pm ET,HIGH,Same teaser,tomorrow.,Same teaser,,#papilotus #darkrnb #newmusic
49,,RELEASE BUILDUP,IG Story,Countdown 1,Controlled Mystery,7-9pm ET (same day),HIGH,Animated 1,tomorrow.,Final countdown + pre-save,tap to pre-save,
50,,RELEASE DAY,IG Reel,OFFICIAL VIDEO DROP (PIN),Video Fragments,Fri 9am ET,HIGH,"Best opening 1-sec of music video — visible drop, no lead-in",the video is out. do not watch it sober emotionally.,Best vertical cut of official music video. PIN to profile. FIRST HOUR: reply to every comment to feed algorithm.,link in bio,#papilotus #darkrnb #newmusic
50,,RELEASE DAY,TikTok,OFFICIAL VIDEO DROP (PIN),Video Fragments,Fri 9am ET,HIGH,Same opening hook,MOTEL SAINT. out now.,Best vertical cut. PIN. FIRST HOUR: reply to every comment.,link in bio,#papilotus #darkrnb #newmusic
50,,RELEASE DAY,YT Shorts,OFFICIAL VIDEO DROP,Video Fragments,Fri 12-2pm ET,HIGH,Best vertical cut opening,MOTEL SAINT — out now. full video on YouTube.,Vertical cut + pinned comment linking to full long-form YouTube video,watch the full video,#papilotus #darkrnb #newmusic
50,,RELEASE DAY,IG Feed,Cover + Release Post,Cinematic Identity,Fri 11am-1pm ET,HIGH,n/a,out now. watch before it disappears.,Cover art + listen/watch CTA. Carousel option: cover + 3 stills,link in bio,#papilotus #darkrnb #newmusic
50,,RELEASE DAY,IG Story,Release Multi-Frame,Cinematic Identity,"Fri 9am, 1pm, 7pm ET",HIGH,Each frame leads with key visual,video out / link / best lyric / 'which scene felt like the song?',"5-7 frames spread across day: 9am video drop, 1pm best lyric, 7pm question sticker, evening save reminder",tap link in bio,
50,,RELEASE DAY,Website,Homepage Hero Swap,Cinematic Identity,Fri 9am ET,HIGH,n/a,no caption,"Swap homepage hero to release video, update Watch/Listen CTAs, swap email-capture copy to 'next transmission incoming'",,
51,,AFTERSHOCK,TikTok,Best Clip Duplicate,Video Fragments,Tue/Thu 7-9pm ET,HIGH,Different opening frame from yesterday — new first second,this part broke me.,Duplicate Day 50 winner with NEW first frame + new caption. Algorithm treats as fresh.,save this,#papilotus #darkrnb #newmusic
51,,AFTERSHOCK,IG Reel,Alternate Cut,Video Fragments,Wed/Thu 6-9pm ET,HIGH,Different scene from official video opening,which scene was hardest?,Different scene from music video. Comment-bait caption (2.4x more comments).,tell me in comments,#papilotus #darkrnb #afterhours
51,,AFTERSHOCK,IG Story,Thank You Frame,Human Proof,10-11am ET (same day),MED,Stat screenshot frame 1,thank you for the noise.,Stream/save count screenshot + simple caption,,
52,,AFTERSHOCK,TikTok,Alternate Crop,Video Fragments,Tue/Thu 7-9pm ET,MED,Different crop opening,the part nobody talks about.,Different crop of release clip + new caption,,#papilotus #darkrnb #afterhours
52,,AFTERSHOCK,YT Shorts,Alternate Cut,Video Fragments,Tue-Thu 12-3pm ET,MED,Different scene opening,which scene was hardest?,Same alternate cut as IG Reel Day 51,,#papilotus #darkrnb #newmusic
53,,AFTERSHOCK,IG Feed,AI Portrait + Stat,Cinematic Identity,Tue-Thu 7-9pm ET,HIGH,n/a,this was only the first transmission.,AI portrait + small integrated stat. Strongest aftershock post.,,#papilotus #afterhours #nightdrive
53,,AFTERSHOCK,TikTok,Slow-Mo Edit,Video Fragments,Tue/Thu 7-9pm ET,MED,Slow-mo moment + lyric on frame 1,save this for the drive home.,Best moment from video slowed down + lyric overlay,send this to nobody,#papilotus #afterhours #nightdrive
54,,AFTERSHOCK,TikTok,Lyric POV (best line),Lyric Wound,Tue/Thu 7-9pm ET,HIGH,Most-quoted lyric from release + best background,POV: the line that ruined you.,Most-quoted lyric (check comments for which one fans loved),save this,#papilotus #afterhours #nightdrive
54,,AFTERSHOCK,IG Reel,Lyric POV (cross-post),Lyric Wound,Wed/Thu 6-9pm ET,MED,Same lyric,POV: the line that ruined you.,Cross-post,send this to nobody,#papilotus #afterhours #nightdrive
55,,AFTERSHOCK,IG Feed,Lyric Still,Lyric Wound,Tue-Thu 11am-1pm ET,MED,n/a,send this to nobody.,"Fan-favorite lyric on black, small lotus mark. Save/share bait.",save this,#papilotus #darkrnb #afterhours
55,,AFTERSHOCK,TikTok,Extended Visualizer,Cinematic Identity,Tue/Thu 7-9pm ET,MED,Slow red room drift frame 1,save this for 3 AM.,"Extended hook visualizer 30 sec, slow drift",save this,#papilotus #afterhours #nightdrive
