Day,Date,Phase,Platform,Post_Type,Pillar,Caption,Asset_Description,CTA,Hashtags
24,,WORLDBUILDING,TikTok,Lyric POV,Lyric Wound,POV: when they come back after you healed.,Night highway AI background + key lyric,save this,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
24,,WORLDBUILDING,IG Story,Save Reminder,Lyric Wound,no caption,Frame from POV clip + save sticker,,
25,,WORLDBUILDING,IG Story,Multi-Frame Reminders,Cinematic Identity,no caption,"3 frames: pre-save, video date, audio link",,
25,,WORLDBUILDING,IG Feed,Editorial Portrait,Cinematic Identity,lotus season.,"AI editorial portrait — empty penthouse, city lights through rainy glass",,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
25,,WORLDBUILDING,Website,Release Page Live,Cinematic Identity,no caption,"Release page goes live — cover, smart links, video embed, lyrics, 3 stills",,
26,,WORLDBUILDING,TikTok,Hook Loop,Song Loop,this one came from the part I do not talk about.,Chrome hallway AI variation + hook,,#papilotus #darkrnb #afterhours
26,,WORLDBUILDING,IG Story,Mood Frame,Cinematic Identity,no caption,Single still — dim hotel mood,,
27,,WORLDBUILDING,IG Reel,POV Edit,Lyric Wound,"POV: you saved them, they didn't save you back.",Emotional edit — night driving + lyric overlay,save this,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
27,,WORLDBUILDING,YT Shorts,POV Edit (cross-post),Lyric Wound,"POV: you saved them, they didn't save you back.","Same edit, YT-optimized",,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
27,,WORLDBUILDING,IG Story,Mood Frame,Cinematic Identity,no caption,Still from POV edit,,
28,,WORLDBUILDING,TikTok,AI Visualizer,Cinematic Identity,save this for the drive home.,"Slow red room motion + key lyric, hypnotic loop",,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
28,,WORLDBUILDING,IG Story,Lyric Overlay,Lyric Wound,no caption,Slow visual + small lyric overlay,,
29,,WORLDBUILDING,IG Feed,Fake Paparazzi Editorial,False Reality,no caption,"AI flash photo — outside club, blurred crowd, candid but stylish",,#papilotus #darkrnb #afterhours
29,,WORLDBUILDING,IG Story,Archive Frame,False Reality,no caption,Single still — archive aesthetic,,
30,,WORLDBUILDING,TikTok,Hook Loop + Countdown,Song Loop,20 days. do not say I didn't warn you.,Best hook variation with subtle '20' overlay,,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
30,,WORLDBUILDING,IG Reel,Hook Loop (cross-post),Song Loop,20 days.,"Same clip, IG-optimized",,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
30,,WORLDBUILDING,IG Story,Countdown 20,Controlled Mystery,20.,Animated countdown card,,
31,,TEASER PRESSURE,TikTok,Hook Loop,Song Loop,you were never supposed to hear this.,"Surveillance cam variation, daily hook push",save this,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
31,,TEASER PRESSURE,IG Story,Countdown 19,Controlled Mystery,19.,Animated countdown frame,,
32,,TEASER PRESSURE,IG Reel,Lyric Loop,Lyric Wound,do not text them tonight.,Lyric loop + ambient motion,save this,#papilotus #darkrnb #afterhours
32,,TEASER PRESSURE,TikTok,Hook Loop,Song Loop,do not text them tonight.,"Same hook, empty club AI background",,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
32,,TEASER PRESSURE,IG Story,Mood Frame,Cinematic Identity,no caption,Mood still,,
33,,TEASER PRESSURE,TikTok,POV Clip,Lyric Wound,POV: you almost made it through the night.,Rainy parking lot AI + lyric,,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
33,,TEASER PRESSURE,IG Story,Question Box,Cinematic Identity,red room or rainy highway?,Two backgrounds split + question sticker,,
34,,TEASER PRESSURE,IG Feed,AI Editorial,Cinematic Identity,luxury decay.,"AI editorial — long black coat, dim penthouse, chrome jewelry",,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
34,,TEASER PRESSURE,TikTok,Hook Loop,Song Loop,the city knows what happened.,Rainy parking lot AI variation,,#papilotus #darkrnb #afterhours
34,,TEASER PRESSURE,IG Story,Editorial Frame,Cinematic Identity,no caption,Single still from editorial,,
35,,TEASER PRESSURE,IG Reel,BTS Illusion #2,False Reality,archived. 03:17 AM.,"Second AI BTS — different studio angle, smoke, red LED",,#papilotus #darkrnb #afterhours
35,,TEASER PRESSURE,YT Shorts,BTS Illusion (cross-post),False Reality,archived. 03:17 AM.,"Same BTS, YT-optimized",,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
35,,TEASER PRESSURE,IG Story,Reminder Frame,Controlled Mystery,no caption,BTS still,,
36,,TEASER PRESSURE,TikTok,Hook Loop,Song Loop,this part was sitting in my drive too long.,Wet glass / car window AI variation,save this,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
36,,TEASER PRESSURE,IG Story,Countdown 14,Controlled Mystery,14.,Animated countdown,,
37,,TEASER PRESSURE,IG Feed,Lyric Still,Lyric Wound,the city knows what happened.,"Black background, small white type, lotus mark",,#papilotus #darkrnb #afterhours
37,,TEASER PRESSURE,TikTok,Lyric POV,Lyric Wound,POV: the apology came too late.,Night highway + lyric overlay,,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
37,,TEASER PRESSURE,IG Story,Lyric Frame,Lyric Wound,no caption,Lyric still frame,,
38,,TEASER PRESSURE,IG Reel,Hook Loop,Song Loop,this is the one.,Chrome hallway variation — strong looper,save this,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
38,,TEASER PRESSURE,TikTok,Hook Loop (cross-post),Song Loop,this is the one.,Same chrome hallway hook,,#papilotus #darkrnb #afterhours
38,,TEASER PRESSURE,IG Story,Save Prompt,Song Loop,save before it disappears.,Frame from hook + save sticker,,
39,,TEASER PRESSURE,TikTok,AI Visualizer,Cinematic Identity,memory loop.,"VHS tape / glitch feel, slow drift",,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
39,,TEASER PRESSURE,IG Story,Question Box,Cinematic Identity,which scene matches the song?,Two AI backgrounds + question,,
40,,TEASER PRESSURE,IG Feed,Carousel,Cinematic Identity,lotus season continues.,"4 AI stills — motel, paparazzi, penthouse, car",,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
40,,TEASER PRESSURE,IG Story,Carousel Frame,Cinematic Identity,no caption,Single frame from carousel,,
40,,TEASER PRESSURE,Website,Archive Page Update,False Reality,no caption,Add 6 archive tiles with cryptic captions and dates,,
41,,TEASER PRESSURE,TikTok,POV Clip,Lyric Wound,POV: the apology came too late.,Driving night clip + lyric,save this,#papilotus #darkrnb #afterhours
41,,TEASER PRESSURE,YT Shorts,POV Clip (cross-post),Lyric Wound,POV: the apology came too late.,"Same POV, YT-optimized",,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
42,,TEASER PRESSURE,IG Reel,Official Video Frame,Video Fragments,you weren't supposed to hear this.,Close-up from official video + dark caption,save the date,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
42,,TEASER PRESSURE,TikTok,Official Video Frame (cross-post),Video Fragments,you weren't supposed to hear this.,"Same frame, TikTok-optimized",,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
42,,TEASER PRESSURE,IG Story,Reminder,Controlled Mystery,no caption,Frame from official video,,
43,,TEASER PRESSURE,TikTok,Hook Loop (best),Song Loop,one week.,Best AI variation with subtle '7' overlay,,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
43,,TEASER PRESSURE,IG Story,Countdown 7,Controlled Mystery,7.,Animated countdown,,
44,,TEASER PRESSURE,IG Feed,Cover Art Preview,Cinematic Identity,MOTEL SAINT.,"Partial cover reveal — half visible, faded edges",,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
44,,TEASER PRESSURE,IG Story,Cover Reveal Frame,Cinematic Identity,no caption,Cover preview frame,,
44,,TEASER PRESSURE,TikTok,Cover + Hook,Song Loop,this week.,Cover art motion + song hook,,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
45,,TEASER PRESSURE,IG Reel,Final Teaser,Video Fragments,this week.,"Best 6-sec clip — max impact, slow push-in",save the date,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
45,,TEASER PRESSURE,TikTok,Final Teaser (cross-post),Video Fragments,this week.,Same 6-sec teaser,,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
45,,TEASER PRESSURE,IG Story,Countdown 5,Controlled Mystery,5.,Animated countdown,,
46,,RELEASE BUILDUP,TikTok,Hook Loop + Countdown,Song Loop,4.,Silhouette AI variation with '4' overlay,save before it disappears,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
46,,RELEASE BUILDUP,IG Story,Countdown 4,Controlled Mystery,4.,Animated countdown,,
46,,RELEASE BUILDUP,IG Reel,BTS Frame,Human Proof,we almost didn't drop this.,"Real or semi-real BTS moment — phone screen, studio, lyric notebook",,#papilotus #darkrnb #afterhours
47,,RELEASE BUILDUP,TikTok,Lyric POV,Lyric Wound,POV: the chaos is the only thing you remember.,Strongest emotional lyric + night highway AI,save this,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
47,,RELEASE BUILDUP,IG Story,Countdown 3,Controlled Mystery,3.,Animated countdown,,
47,,RELEASE BUILDUP,YT Shorts,Hook Loop,Song Loop,3 days.,Best hook + countdown overlay,,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
48,,RELEASE BUILDUP,IG Feed,Cover Art Full Reveal,Cinematic Identity,MOTEL SAINT — 07.XX,"Final cover, minimal caption",pre-save link in bio,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
48,,RELEASE BUILDUP,TikTok,Cover + Hook (best),Song Loop,two days.,Cover motion + best hook variation,pre-save link in bio,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
48,,RELEASE BUILDUP,IG Story,Countdown 2,Controlled Mystery,2.,Animated countdown + pre-save sticker,tap to pre-save,
49,,RELEASE BUILDUP,IG Reel,Final Teaser,Video Fragments,tomorrow.,Best 6-sec clip with 'tomorrow' overlay,,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
49,,RELEASE BUILDUP,TikTok,Final Teaser (cross-post),Video Fragments,tomorrow.,Same teaser,,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
49,,RELEASE BUILDUP,IG Story,Countdown 1,Controlled Mystery,tomorrow.,Final countdown frame + pre-save sticker,tap to pre-save,
50,,RELEASE DAY,IG Reel,Official Video Drop (PIN),Video Fragments,the video is out. do not watch it sober emotionally.,Best vertical cut of official music video — PIN THIS,link in bio,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
50,,RELEASE DAY,TikTok,Official Video Drop (PIN),Video Fragments,MOTEL SAINT. out now.,Best vertical cut — PIN THIS,link in bio,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
50,,RELEASE DAY,YT Shorts,Official Video Drop,Video Fragments,MOTEL SAINT — out now. full video on YouTube.,Vertical cut + link to full video,watch the full video,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
50,,RELEASE DAY,IG Feed,Cover Art Post,Cinematic Identity,out now. watch before it disappears.,Cover art + listen/watch CTA,link in bio,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
50,,RELEASE DAY,IG Story,Release Multi-Frame,Cinematic Identity,video out / link in bio / best lyric / question sticker,"5-7 frames: video out, link, best lyric, question 'which scene felt like the song?', save reminder",tap link in bio,
50,,RELEASE DAY,Website,Homepage Hero Swap,Cinematic Identity,no caption,"Swap homepage hero to release video, update Watch/Listen CTAs",,
51,,AFTERSHOCK,TikTok,Best Clip Duplicate,Video Fragments,this part broke me.,Duplicate of best release clip with new first frame + new caption,save this,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
51,,AFTERSHOCK,IG Story,Thank You Frame,Human Proof,thank you for the noise.,Stat screenshot + simple caption,,
51,,AFTERSHOCK,IG Reel,Alternate Cut,Video Fragments,which scene was hardest?,Different scene from official video — close-up or silhouette,tell me in comments,#papilotus #darkrnb #afterhours
52,,AFTERSHOCK,TikTok,Alternate Crop,Video Fragments,the part nobody talks about.,Different crop of release clip + new caption,,#papilotus #darkrnb #afterhours
52,,AFTERSHOCK,IG Story,Reaction Screenshot,Human Proof,no caption,Screenshot of top comment / reaction,,
52,,AFTERSHOCK,YT Shorts,Alternate Cut (cross-post),Video Fragments,which scene was hardest?,Same alternate cut as IG Reel,,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
53,,AFTERSHOCK,IG Feed,AI Portrait + Stat,Cinematic Identity,this was only the first transmission.,AI portrait + small stat screenshot integrated,,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
53,,AFTERSHOCK,TikTok,Slow-Mo Edit,Video Fragments,save this for the drive home.,"Best moment from video, slowed down + lyric overlay",save this,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
53,,AFTERSHOCK,IG Story,Stat Frame,Human Proof,no caption,Stream count or save count screenshot,,
54,,AFTERSHOCK,TikTok,Lyric POV,Lyric Wound,POV: the line that ruined you.,Most-quoted lyric from release + best AI background,save this,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
54,,AFTERSHOCK,IG Story,Lyric Frame,Lyric Wound,no caption,Frame from POV,,
54,,AFTERSHOCK,IG Reel,Lyric POV (cross-post),Lyric Wound,POV: the line that ruined you.,"Same POV, IG-optimized",,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
55,,AFTERSHOCK,IG Feed,Lyric Still,Lyric Wound,send this to nobody.,"Fan-favorite line on black, small lotus mark",,#papilotus #darkrnb #afterhours
55,,AFTERSHOCK,TikTok,Extended Visualizer,Cinematic Identity,save this for 3 AM.,"Extended hook visualizer — 30 sec, slow drift",save this,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
55,,AFTERSHOCK,IG Story,Save Reminder,Song Loop,save before it disappears.,Visualizer frame + save sticker,,
56,,AFTERSHOCK,IG Reel,Behind-the-Video AI,False Reality,lotus sessions.,AI BTS — fake recording/shoot moment,,#papilotus #darkrnb #afterhours
56,,AFTERSHOCK,TikTok,Behind-the-Video AI (cross-post),False Reality,lotus sessions.,Same BTS clip,,#papilotus #darkrnb #afterhours
56,,AFTERSHOCK,IG Story,Question Box,Cinematic Identity,which scene felt like you?,Two scene options + question sticker,,
57,,AFTERSHOCK,TikTok,Sped-Up Edit,Song Loop,the version that lives in my head.,Sped-up hook for energy — pairs with night drive footage,,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
57,,AFTERSHOCK,YT Shorts,Sped-Up Edit (cross-post),Song Loop,the version that lives in my head.,"Same edit, YT-optimized",,#papilotus #darkrnb #afterhours #newmusic #musicvideo #darkpop #moodymusic
57,,AFTERSHOCK,IG Story,Stream Milestone,Human Proof,no caption,Stream/save count milestone screenshot,,
58,,AFTERSHOCK,IG Feed,Fake Magazine #2,False Reality,MOTEL SAINT. post-release feature.,AI editorial cover — post-release fake feature,,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
58,,AFTERSHOCK,TikTok,Hook Loop,Song Loop,this still hits.,New AI background — rainy church / red room hybrid,save this,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
58,,AFTERSHOCK,IG Story,Magazine Frame,False Reality,no caption,Magazine cover frame,,
59,,AFTERSHOCK,TikTok,Comment Reply Clip,Cinematic Identity,for whoever said this part hurt.,Reply to top comment with a new AI background using same hook,,#papilotus #darkrnb #afterhours
59,,AFTERSHOCK,IG Story,Reply Frame,Cinematic Identity,no caption,Frame from comment-reply clip,,
59,,AFTERSHOCK,IG Reel,Comment Reply Clip (cross-post),Cinematic Identity,for whoever said this part hurt.,"Same clip, IG-optimized",,#papilotus #darkrnb #afterhours
60,,AFTERSHOCK,IG Feed,AI Portrait + Tease,Cinematic Identity,next signal incoming.,"AI portrait — different mood, hints at next era",,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
60,,AFTERSHOCK,TikTok,Best Aftershock Clip,Song Loop,lotus season continues.,Best-performing aftershock clip — duplicated with new first frame,save this,#papilotus #darkrnb #afterhours #nightdrive #cinematic #lotusseason
60,,AFTERSHOCK,IG Story,Next Era Tease,Controlled Mystery,no caption,Cryptic frame hinting at next era — different palette accent,,
